Desired Plants
Asparagus
"Beans, snap—bush"
"Beans, snap—pole"
"Beans, Lima—bush"
"Beans, Lima—pole"
Beet
Broccoli
Cabbage
"Cabbage, Chinese"
Carrot
Cauliflower
"Chard, Swiss"
Collard (Kale)
"Corn, sweet"
Cucumber
Garlic
Lettuce
Muskmelon/ Cantaloupe
Mustard
Okra
Onion (bulb)
Onion (seed)
Parsley
"Pea, English"
"Pea, Southern"
Pepper
"Potato, Irish"
"Potato, sweet"
Pumpkin
Spinach
"Squash, summer"
"Squash, winter"
Tomato
Watermelon
